link,tipo_vivienda,n_habitaciones,n_baños,n_estacionamientos,total_superficie_m2,superficie_construida_m2,dirección
https://chilepropiedades.cl/ver-publicacion/venta-usada/huechuraba/casa/reinaldo-prado/3396968,Casa,3.0,2.0,,240,90,"Huechuraba, Reinaldo Prado"
https://chilepropiedades.cl/ver-publicacion/venta-usada/huechuraba/casa/alberto-undurraga/3020800,Casa,3.0,2.0,1,115,84,"Huechuraba, Alberto Undurraga"
https://chilepropiedades.cl/ver-publicacion/venta-usada/huechuraba/casa/condominio-santa-maria-de-huechuraba/3525252,Casa,5.0,3.0,2,315,131,"Huechuraba, Condominio Santa María de Huechuraba"
https://chilepropiedades.cl/ver-publicacion/venta-usada/huechuraba/casa/villa-los-libertadores/3646354,Casa,6.0,2.0,2,145,138,"Huechuraba, Villa los libertadores"
https://chilepropiedades.cl/ver-publicacion/venta-usada/huechuraba/casa/los-fresnos-pedro-fontovacolegios-san-francisco-boston-grace-y-pumahue/1743107,Casa,5.0,3.0,No,500,200,"Huechuraba, Los fresnos / pedro fontova/colegios: san francisco, boston, grace y pumahue."
https://chilepropiedades.cl/ver-publicacion/venta-usada/huechuraba/casa/guayalolen/3154636,Casa,2.0,1.0,1,162,65,"Huechuraba, Guayalolen"
https://chilepropiedades.cl/ver-publicacion/venta-usada/huechuraba/casa/del-estero-7556/3637158,Casa,4.0,3.0,1,220,160,"Huechuraba, Del Estero 7556"
https://chilepropiedades.cl/ver-publicacion/venta-usada/huechuraba/casa/pedro-fontovapedro-fontova/3141716,Casa,3.0,2.0,No,4000,300,"Huechuraba, Pedro Fontova/Pedro Fontova"
https://chilepropiedades.cl/ver-publicacion/venta-usada/huechuraba/casa/pedro-fontovacamino-el-roble/2765368,Casa,5.0,5.0,No,430,171,"Huechuraba, Pedro fontova/camino el roble"
https://chilepropiedades.cl/ver-publicacion/venta-usada/huechuraba/casa/los-fresnos/3503577,Casa,5.0,3.0,No,400,140,"Huechuraba, Los Fresnos"
https://chilepropiedades.cl/ver-publicacion/venta-usada/huechuraba/casa/calle-camino-del-roble-n-1790-casa-13-huechuraba/3597126,Casa,4.0,3.0,No,169,128,"Huechuraba, Calle Camino del Roble N° 1790 casa 13, Huechuraba"
https://chilepropiedades.cl/ver-publicacion/venta-usada/huechuraba/casa/av-santa-martael-sauce/3407496,Casa,3.0,3.0,No,280,121,"Huechuraba, Av santa marta/el sauce"
https://chilepropiedades.cl/ver-publicacion/venta-usada/huechuraba/casa/camino-de-los-fresnos/2620065,Casa,4.0,3.0,2,230,140,"Huechuraba, Camino de Los Fresnos"
https://chilepropiedades.cl/ver-publicacion/venta-usada/huechuraba/casa/diego-barros-arana-con-las-torres/3710307,Casa,3.0,2.0,No,63,78,"Huechuraba, Diego Barros Arana con Las Torres"
https://chilepropiedades.cl/ver-publicacion/venta-usada/huechuraba/casa/camino-el-roblepedro-fontova-norte/3550915,Casa,4.0,3.0,No,193,123,"Huechuraba, Camino El Roble/Pedro Fontova Norte"
https://chilepropiedades.cl/ver-publicacion/venta-usada/huechuraba/casa/pedro-fontovapedro-fontova/3594418,Casa,4.0,4.0,No,430,180,"Huechuraba, Pedro fontova/Pedro Fontova"
